,News,Links,Main Link
0,"Bengaluru reports 3788 new COVID-19 cases, active cases at 65000
Reference: The News Minute
Updated: 2 hours ago
",https://news.google.com/articles/CAIiEH2z94GQf3jUEp6-fo1Ny6sqGQgEKhAIACoHCAow7pf_CjDdlfgCMKSi6gU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Bengaluru man who recovered from COVID-19 develops clots
Reference: The New Indian Express
Updated: 11 hours ago
",https://news.google.com/articles/CBMigwFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9jaXRpZXMvYmVuZ2FsdXJ1LzIwMjAvb2N0LzE2L2JlbmdhbHVydS1tYW4td2hvLXJlY292ZXJlZC1mcm9tLWNvdmlkLTE5LWRldmVsb3BzLWNsb3RzLTIyMTA4NjcuaHRtbNIBggFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9jaXRpZXMvYmVuZ2FsdXJ1LzIwMjAvb2N0LzE2L2JlbmdhbHVydS1tYW4td2hvLXJlY292ZXJlZC1mcm9tLWNvdmlkLTE5LWRldmVsb3BzLWNsb3RzLTIyMTA4NjcuYW1w?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Covid-19: 8,477 new cases in Karnataka, 85 deaths
Reference: Times of India
Updated: 14 hours ago
",https://news.google.com/articles/CAIiECx6vhStBhstQd9FGQjEXscqGQgEKhAIACoHCAowzrL9CjDC7vQCMKCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"30 test Covid positive in Bengaluru govt office
Reference: The New Indian Express
Updated: Yesterday
",https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL2NpdGllcy9iZW5nYWx1cnUvMjAyMC9vY3QvMTUvMzAtdGVzdC1jb3ZpZC1wb3NpdGl2ZS1pbi1iZW5nYWx1cnUtZ292dC1vZmZpY2UtMjIxMDM4Mi5odG1s0gF5aHR0cHM6Ly93d3cubmV3aW5kaWFuZXhwcmVzcy5jb20vY2l0aWVzL2JlbmdhbHVydS8yMDIwL29jdC8xNS8zMC10ZXN0LWNvdmlkLXBvc2l0aXZlLWluLWJlbmdhbHVydS1nb3Z0LW9mZmljZS0yMjEwMzgyLmFtcA?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMMqAmAsw9KmvAw/sections/CAQiWkNCQVNQUW9KTDIwdk1ERmpjSGw1RWdWbGJpMUhRaUlMQ0F3NkJ3b0ZiRzlqWVd3cUhBb2FDaFpNVDBOQlRGOU9SVmRUWDBWWVVFeEJUa0ZVU1U5T0lBRW9BQSoqCAAqJggKIiBDQkFTRWdvSkwyMHZNREZqY0hsNUVnVmxiaTFIUWlnQVABUAE?hl=en-IN&gl=IN&ceid=IN%3Aen
