,News,Links,Main Link
0,"Explained: The comparison between India, Bangladesh per capita GDP
Reference: The Indian Express
Updated: 4 hours ago
",https://news.google.com/articles/CAIiEGwiOn3CK5qHokDYVOK143IqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"India`s new `game-changing` strip test for coronavirus ready to hit market
Reference: WION
Updated: 22 hours ago
",https://news.google.com/articles/CAIiECHcrwkfUTDWxbI0MrmN4WcqGQgEKhAIACoHCAowvr39CjDhj_UCMM_gqwY?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Markets end 10-day rally, sensex crashes 1,066 points: Top reasons behind this slide
Reference: Times of India
Updated: 16 hours ago
",https://news.google.com/articles/CAIiENvQIZJbDZ65l6ZZXHWTT4YqGQgEKhAIACoHCAowzrL9CjDC7vQCMJCT1wU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"India’s export opportunities could be significant even in a post-COVID world
Reference: The Indian Express
Updated: 2 days ago
",https://news.google.com/articles/CAIiEH3ka0rDIk7f8Cdjek1eJJ4qGAgEKg8IACoHCAow3rvTBDD89X4w0bTmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMLiAmAswiaqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
