,News,Links,Main Link
0,"Russia registers new COVID-19 vaccine as cases hit record high | Coronavirus Pandemic
Reference: WION
Updated: Yesterday
",https://news.google.com/articles/CCAiCzZSZC1sUmJ3N013mAEB?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
1,"Coronavirus: Syringe-makers look to ramp up stocks for Covid vaccine
Reference: Times of India
Updated: 22 minutes ago
",https://news.google.com/articles/CAIiEOF9R04on_1_TxMwYs7PMr8qGQgEKhAIACoHCAowzrL9CjDC7vQCMK2y1gU?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
2,"Covid-19 vaccine in India: PM Modi takes stock of development, distribution process
Reference: Mint
Updated: 19 hours ago
",https://news.google.com/articles/CAIiEAnYHEwJqt_DoLpIzVulTtsqFwgEKg4IACoGCAowxLQ_MNevCDCyrdsG?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
3,"Explained: The 3 Covid-19 trials that hit a bump
Reference: The Indian Express
Updated: 8 hours ago
",https://news.google.com/articles/CAIiEMy85HHkGitUlHsaH-Fr61sqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?hl=en-IN&gl=IN&ceid=IN%3Aen,https://news.google.com/topics/CAAqBwgKMM-AmAswiqqvAw?hl=en-IN&gl=IN&ceid=IN%3Aen
